"Name","Salary"
"Carter Verhaeghe ",5000000
"Chris Kreider ",5000000
"Esa Lindell ",5000000
"Josh Manson ",5000000
"Kyle Palmieri ",5000000
"Mats Zuccarello-Aasen ",5000000
"Mike Hoffman ",5000000
"Nick Jensen ",5000000
"Ryan O'Reilly ",5000000
"Ryan Strome ",5000000
"Samuel Girard ",5000000
"T.J. Oshie ",5000000
NA,NA
"Tim Stützle ",5000000
"Tyson Barrie ",5000000
"Nate Schmidt ",4950000
"Jake Oettinger ",4800000
"Joel Armia ",4800000
"Mason Marchment ",4800000
"Alex Tuch ",4750000
"Tyler Johnson ",4750000
"Victor Olofsson ",4750000
"Ville Husso ",4750000
"Lawson Crouse ",4600000
"Rasmus Andersson ",4550000
"Adam Lowry ",4500000
"Brent Seabrook ",4500000
"Charlie Coyle ",4500000
"Cody Ceci ",4500000
"Filip Chytil ",4500000
"Jean-Gabriel Pageau ",4500000
"Jesperi Kotkaniemi ",4500000
"Nick Leddy ",4500000
NA,NA
"Nikita Zaitsev ",4500000
"Trevor Moore ",4500000
"Carter Hart ",4479000
"Alex Iafallo ",4400000
"Petr Mrazek ",4400000
"Ryan Suter ",4300000
"Mattias Samuelsson ",4285714
"Andreas Athanasiou ",4250000
"Filip Gustavsson ",4250000
"Joel Farabee ",4250000
"Jonas Siegenthaler ",4250000
"Matthew Grzelcyk ",4250000
"Robby Fabbri ",4250000
"Tanner Pearson ",4250000
"Viktor Arvidsson ",4250000
"David Savard ",4200000
"Matt Roy ",4200000
"John Klingberg ",4150000
"Nicholas Paul ",4150000
"Shayne Gostisbehere ",4125000
NA,NA
"Tomas Hertl ",4109947
"Kirby Dach ",4100000
"Marcus Foligno ",4100000
"Ross Colton ",4100000
"Marcus Pettersson ",4025175
"Brett Pesce ",4025000
"Artem Zub ",4000000
"Brenden Dillon ",4000000
"Carson Soucy ",4000000
"Erik Gudbranson ",4000000
"Ilya Sorokin ",4000000
"Jacob Muzzin ",4000000
"Jake DeBrusk ",4000000
"Jake McCabe ",4000000
"Joonas Korpisalo ",4000000
"Nick Foligno ",4000000
"Nino Niederreiter ",4000000
"Noah Dobson ",4000000
"Radek Faksa ",4000000
"Radko Gudas ",4000000
NA,NA
"Ryan Lindgren ",4000000
"Erik Haula ",3900000
"Scott Laughton ",3875000
"Boone Jenner ",3750000
"Bryan Little ",3750000
"Jordan Eberle ",3750000
"Trevor Van Riemsdyk ",3750000
"Alexander Georgiev ",3700000
"Frederik Andersen ",3700000
"Frank Vatrano ",3650000
"Michael Anderson ",3600000
"Ilya Samsonov ",3550000
"Alex Newhook ",3500000
"Brandon Tanev ",3500000
"Colton Sissons ",3500000
"Derek Forbort ",3500000
"Dylan Demelo ",3500000
"Evan Bouchard ",3500000
"Gustav Forsling ",3500000
"Jake Walman ",3500000
NA,NA
"Joe Pavelski ",3500000
"Jonathan Marchessault ",3500000
"Jordan Greenway ",3500000
"Marc-Andre Fleury ",3500000
"Martin Necas ",3500000
"Nicolas Roy ",3500000
"Scott Mayfield ",3500000
"Jeremy Swayman ",3475000
"Jordan Staal ",3450000
"Justin Holl ",3400000
"Martin Fehervary ",3400000
"Connor Clifton ",3333333
"Brian Dumoulin ",3300000
"Gabe Vilardi ",3275000
"Jason Dickinson ",3250000
"Mario Ferraro ",3250000
"Miles Wood ",3250000
"Sean Kuraly ",3250000
"Warren Foegele ",3250000
"Chandler Stephenson ",3225000
NA,NA
"Kasperi Kapanen ",3200000
"Gustav Nyquist ",3185000
"Karel Vejmelka ",3150000
"Yegor Sharangovich ",3100000
