"Name","Salary","Tm","Pos","GP","gf_60","ga_60","avg_shift","even_toi_sec","pp_toi_sec","sh_toi_sec"
"Eeli Tolvanen",1450000,"SEA","RW",81,5.3,0,54,789,142,5
"Andrei Kuzmenko",1429350,"TOT","F",72,16.3,0,46,704,188,0
"Fabian Zetterlund",1400000,"SJS","W",82,8.6,6.2,37,940,148,42
"Jordan Harris",1400000,"MTL","D",56,0,8.4,50,944,4,98
"Keegan Kolesar",1400000,"VEG","RW",79,17.6,2,43,627,2,22
"Ryan Poehling",1400000,"PHI","C",77,5,4.4,30,765,27,106
"Ethan Bear",1375000,"WSH","D",24,0,0,52,867,21,4
"Nathan Bastian",1350000,"NJD","RW",54,5.8,12.1,39,526,34,49
"Ryan Reaves",1350000,"TOR","RW",49,0,0,41,483,2,0
"Jake Guentzel",1319388,"TOT","C",67,17.4,0,54,980,216,3
"Anthony Mantha",1313092,"TOT","RW",74,2.2,124.1,34,754,98,0
"Adam Henrique",1311371,"TOT","C",82,9.3,7.8,50,771,112,127
"Dylan Samberg",1300000,"WPG","D",78,32.7,9.2,31,815,1,120
"Kevin Rooney",1300000,"CGY","C",33,0,10.6,31,511,6,154
"Morgan Barron",1300000,"WPG","C",80,21.4,7.3,38,542,2,85
"Nic Dowd",1300000,"WSH","C",64,0,9.5,36,772,3,135
"Evgeny Kuznetsov",1287974,"TOT","C",63,7.5,0,48,832,141,78
"Jarred Tinordi",1250000,"CHI","D",52,0,9.5,38,835,1,101
"Jamie Drysdale",1216242,"TOT","D",34,0,0,56,1019,146,11
"Brendan Smith",1200000,"NJD","D",63,0,4.8,41,796,2,167
"Colin Blackwell",1200000,"CHI","C",44,20,7.7,48,750,12,106
"Eric Robinson",1192734,"TOT","LW",47,0,10,38,650,0,28
"Chris Tanev",1178000,"TOT","D",75,0,6.6,37,1029,3,147
"Sam Lafferty",1150000,"VAN","C/LW",79,1.9,11,43,668,23,20
"Steven Lorentz",1150000,"FLA","C/LW",38,0,3.2,41,495,1,29
"Jason Zucker",1137709,"TOT","LW",69,8.1,56.3,53,731,97,0
"Alexander Wennberg",1125654,"TOT","C",79,7.1,0,42,847,105,125
"Vladimir Tarasenko",1125654,"TOT","RW",76,3.8,NA,32,803,140,0
"Christian Fischer",1125000,"DET","RW",79,0,6.7,31,633,3,47
"Conor Timmins",1100000,"TOR","D",25,4.4,0,37,857,98,5
"Filip Zadina",1100000,"SJS","RW",72,4.8,17.1,51,720,62,17
"Kyle Burroughs",1100000,"SJS","D",73,2.3,9.8,37,1061,21,65
"Marc Staal",1100000,"PHI","D",35,0,14.4,41,768,3,56
"Mathieu Olivier",1100000,"CBJ","F",54,0,10.7,41,643,2,31
"Nick Cousins",1100000,"FLA","C",69,2.9,0,47,712,18,1
"Ross Johnston",1100000,"ANA","LW",68,0,0,34,488,3,0
"Travis Hamonic",1100000,"OTT","D",48,0,12.3,31,795,2,85
"Noah Hanifin",1088472,"TOT","D",80,5.7,5.9,30,1163,111,142
"Kevin Shattenkirk",1050000,"BOS","D",61,10.5,0,36,856,84,6
"Kyle Okposo",1036649,"TOT","RW",67,5.4,9.5,38,682,72,46
"Andreas Englund",1000000,"LAK","D",82,0,6.4,41,737,0,55
"Craig Smith",1000000,"DAL","C",75,0,0,58,604,4,4
"Curtis Lazar",1000000,"NJD","C/RW",71,0,6.9,36,673,3,66
"Dmitry Kulikov",1000000,"FLA","D",76,0,6.4,48,853,4,133
"Kevin Stenlund",1000000,"FLA","C",81,0,7.7,39,584,10,161
"Logan O'Connor",1000000,"COL","RW",57,0,7.4,38,754,5,137
"Logan Stanley",1000000,"WPG","D",25,0,4.7,41,761,3,61
"Mattias Janmark",1000000,"EDM","C",71,0,7.5,44,604,1,108
"Milan Lucic",1000000,"BOS","LW",4,0,NA,50,691,26,0
"Justin Danforth",975000,"CBJ","RW/C",71,0,11.2,40,754,29,72
"Adam Fantilli",950000,"CBJ","C",49,2.7,0,49,805,136,1
"Connor Bedard",950000,"CHI","C",68,8.1,0,55,984,202,0
"Juraj Slafkovsky",950000,"MTL","LW",82,7.4,0,48,898,176,0
"Kevin Korchinski",950000,"CHI","D",76,4,0,55,1060,107,9
"Leo Carlsson",950000,"ANA","C",55,8.4,0,45,942,132,10
"Logan Cooley",950000,"ARI","C",82,7.1,7.6,55,802,123,22
"Pavel Mintyukov",950000,"ANA","D",63,6.4,9.9,35,956,115,57
"Zach Benson",950000,"BUF","LW",71,4,5.6,50,761,63,45
"Alexander Holtz",925000,"NJD","RW",82,4.1,0,37,622,75,0
"Anton Lundell",925000,"FLA","C",78,4.6,3.7,40,777,69,74
"Braden Schneider",925000,"NYR","D",82,0,4,44,887,0,65
"Brock Faber",925000,"MIN","D",82,8.9,9.2,47,1167,153,177
"Cole Sillinger",925000,"CBJ","C",77,3.9,10,57,798,47,121
"Drew O'Connor",925000,"PIT","F",79,0,6.2,37,833,8,102
"Jack Drury",925000,"CAR","C",74,12,3.5,36,652,56,27
"Jake Sanderson",925000,"OTT","D",79,6.8,9.8,39,1035,181,176
"John-Jason Peterka",925000,"BUF","RW",82,4.2,0,42,867,115,0
"Kirill Marchenko",925000,"CBJ","RW",78,8.1,0,39,833,146,4
"Lucas Raymond",925000,"DET","LW",82,7.3,6,49,894,163,7
"Luke Hughes",925000,"NJD","D",82,9.1,7.9,47,1076,207,5
"Matthew Beniers",925000,"SEA","C",77,5.9,9.8,48,913,150,14
"Matthew Knies",925000,"TOR","LW",80,3.5,18.2,45,765,37,17
"Nils Lundkvist",925000,"DAL","D",59,6.7,0,33,791,54,0
"Owen Power",925000,"BUF","D",76,3.5,8,45,1167,95,111
"William Eklund",925000,"SJS","LW",80,7.8,4.4,53,906,161,51
"Wyatt Johnston",925000,"DAL","C",82,7.1,7.4,43,830,105,83
"Anthony Beauvillier",912576,"TOT","LW",60,2.2,0,60,745,68,1
"Ben Hutton",900000,"VEG","D",41,6.5,21.8,41,895,67,12
"Derek Ryan",900000,"EDM","C",70,0,9.1,41,514,1,96
"Kevin Bahl",900000,"NJD","D",82,0,8.5,47,932,2,108
"Rasmus Kupari",900000,"WPG","C",28,0,18.8,40,488,18,40
"Ty Dellandrea",900000,"DAL","C",42,0,9.2,33,645,2,111
"Urho Vaakanainen",900000,"ANA","D",68,0,10,33,930,2,116
"Zach Bogosian",890514,"TOT","D",65,0,9.2,57,975,5,91
"Anthony Duclair",879564,"TOT","LW",73,9.5,10.7,57,837,104,4
"Oliver Wahlstrom",874125,"NYI","RW",32,6.6,NA,36,613,51,0
"Matthew Poitras",870000,"BOS","C",33,2,0,45,748,54,1
"Alex Vlasic",867500,"CHI","D",76,6.5,7.5,45,1105,43,139
"Tye Kartye",867500,"SEA","F",77,0,0,38,689,5,15
"Dmitri Voronkov",864043,"CBJ","LW",75,8.1,0,34,688,118,0
"Jack Roslovic",858622,"TOT","C",59,6.8,7.4,31,832,51,49
"Dakota Joshua",850000,"VAN","C",63,5.2,5.7,37,731,22,109
"Pierre-Olivier Joseph",850000,"PIT","D",52,18.2,9.3,36,871,3,29
"Reese Johnson",850000,"CHI","F",42,0,8.8,50,576,1,77
"Sam Steel",850000,"DAL","C",77,0,5.5,38,679,3,111
"Sebastian Aho",850000,"CAR","F",78,11.4,5.2,50,897,173,106
"Sebastian Aho",850000,"NYI","D",58,2.4,13.7,41,901,50,31
"Mathew Dumba",837179,"TOT","D",76,3.9,10,43,1007,15,160
"Alex Laferriere",833763,"LAK","RW",81,7.1,20.6,36,751,37,4
"Cole Perfetti",832500,"WPG","C",71,6.9,0,32,683,131,0
"Dawson Mercer",832500,"NJD","C",82,4.6,7.1,44,840,86,105
"Jack Quinn",832500,"BUF","RW",27,3.6,5.9,44,760,110,67
"Jake Neighbours",832500,"STL","LW",77,9.6,7.1,56,791,131,19
"Kaiden Guhle",832500,"MTL","D",70,3.1,7.6,43,1112,16,122
"Marco Rossi",832500,"MIN","C",82,5.2,6.9,50,871,125,6
"Moritz Seider",832500,"DET","D",82,9.4,8,41,1052,135,153
"Nicholas Robertson",832500,"TOR","LW",56,4,0,49,632,48,1
"Nikita Alexandrov",832500,"STL","C",23,0,NA,30,511,0,0
"Peyton Krebs",832500,"BUF","C",80,4.2,21,39,694,32,23
"Quinton Byfield",832500,"LAK","C",80,10.7,0,46,849,138,1
"Ridly Greig",832500,"OTT","C",72,4.9,7.3,33,751,50,82
"Seth Jarvis",832500,"CAR","C",81,11.4,4.7,51,826,175,122
"Thomas Harley",832500,"DAL","D",79,8,2.4,46,1130,74,56
"Tyson Foerster",832500,"PHI","RW",77,5.6,0,44,883,151,1
"Connor McMichael",828210,"WSH","C",80,7.8,6.2,39,809,69,80
"Andrew Cogliano",825000,"COL","LW/C",75,0,8.9,40,500,0,135
"Erik Gustafsson",825000,"NYR","D",76,7.9,7.6,42,953,77,12
"Joe Veleno",825000,"DET","C",80,10,4.5,47,732,54,50
"Jonathan Drouin",825000,"COL","LW",79,10.1,0,45,869,221,0
"Pavel Dorofeyev",825000,"VEG","LW",47,3.9,0,42,737,58,0
"Ryan Lomberg",825000,"FLA","LW",75,8.7,5.1,32,547,5,18
"Arthur Kaliyev",823851,"LAK","RW",51,6.4,0,54,620,88,0
"Jordan Spence",802056,"LAK","D",71,6.5,0,47,770,93,1
"Blake Wheeler",800000,"NYR","RW",54,2.3,0,37,704,58,0
"Brendan Lemieux",800000,"CAR","LW",32,0,0,33,477,3,0
"Brett Leason",800000,"ANA","RW",68,4.2,10.5,36,636,12,131
"Givani Smith",800000,"SJS","RW",36,0,NA,45,468,0,0
"Jimmy Vesey",800000,"NYR","LW",80,6.1,4.9,42,663,14,64
"Liam O'Brien",800000,"ARI","C",75,0,11.3,32,569,1,12
"Luke Glendening",800000,"TBL","C",81,0,6.9,40,560,0,136
"Mark Giordano",800000,"TOR","D",46,3.1,10.4,50,836,25,135
"Mark Kastelic",800000,"OTT","C",63,0,8.5,26,452,3,6
"Michael Eyssimont",800000,"TBL","C",81,12.6,0,39,685,24,0
"Nick Seeler",800000,"PHI","D",71,0,3.4,38,893,5,118
"Samuel Bolduc",800000,"NYI","D",34,7.1,12.6,49,765,14,8
"Thomas Novak",800000,"NSH","C",71,7.4,0,56,727,123,1
"Travis Dermott",800000,"ARI","D",50,0,10.1,43,879,1,155
"Tyler Motte",800000,"TBL","C",69,0,5.6,39,614,1,130
"Tyler Tucker",800000,"STL","D",26,0,5.7,37,721,1,24
"Zachary Jones",800000,"NYR","D",31,0,0,36,867,2,7
"Kent Johnson",794299,"CBJ","C",42,2,0,46,683,129,0
"Sean Monahan",789868,"TOT","C",83,9.8,8.3,42,812,196,77
"Austin Watson",776665,"TBL","LW",33,0,0,36,429,2,3
"Jonah Gadjovich",776103,"FLA","LW",39,0,0,35,437,4,3
"A.J. Greer",775000,"CGY","LW",59,10.2,7.6,28,508,5,15
"Alexander Alexeyev",775000,"WSH","D",39,0,0,35,790,2,28
"Beck Malenstyn",775000,"WSH","LW",81,0,7.9,40,696,1,156
"Benoit-Olivier Groulx",775000,"ANA","C",45,6.8,11.4,38,642,11,77
"Bobby McMann",775000,"TOR","F",56,4.2,6.5,40,633,30,29
"Calvin de Haan",775000,"TBL","D",59,0,6.8,42,879,1,116
"Chris Tierney",775000,"NJD","C",52,0,6.8,42,498,2,40
"Cole Smith",775000,"NSH","F",80,0,10.2,42,690,2,128
"Connor Brown",775000,"EDM","RW",71,2.5,6.7,47,642,19,105
"Darren Raddysh",775000,"TBL","D",82,9,5.3,36,1052,43,49
"David Gustafsson",775000,"WPG","C",39,0,7.5,44,505,1,48
"Dennis Gilbert",775000,"CGY","D",34,0,3.5,32,705,1,30
"Haydn Fleury",775000,"TBL","D",24,0,10.4,41,907,1,57
"Hudson Fasching",775000,"NYI","RW",45,8.6,0,36,709,9,3
"Jack Johnson",775000,"COL","D",80,0,6.2,36,837,0,57
"Jakub Lauko",775000,"BOS","C",60,0,0,44,578,4,6
"Jalen Chatfield",775000,"CAR","D",72,0,3.9,32,870,2,38
"Jesse Ylönen",775000,"MTL","RW",59,1.2,10.5,40,533,51,29
"John Ludvig",775000,"PIT","D",33,NA,14.9,30,657,0,51
"Johnathan Kovacevic",775000,"MTL","D",62,0,6.9,55,854,1,134
"Kiefer Sherwood",775000,"NSH","RW",68,0,2.6,48,689,20,20
"Luke Evangelista",775000,"NSH","RW",80,8,0,52,707,129,0
"Michael Amadio",775000,"VEG","C",73,7.1,0,51,743,55,4
"Michael Carcone",775000,"ARI","F",74,6.9,0,36,651,21,3
"Michael McCarron",775000,"NSH","RW",70,0,3.8,37,682,3,80
"Michael Pezzetta",775000,"MTL","C",61,0,0,46,457,1,8
"Noah Gregor",775000,"TOR","C",63,10.6,4.3,38,612,5,66
"Noah Juulsen",775000,"VAN","D",54,0,6.9,44,776,2,115
"Oskar Sundqvist",775000,"STL","C",71,5.1,7,46,638,69,86
"Parker Kelly",775000,"OTT","F",80,0,8.2,30,564,6,131
"Paul Cotter",775000,"VEG","C",76,8.6,0,46,730,32,0
"Ryan Carpenter",775000,"SJS","C",62,0,10.7,36,577,1,86
"Scott Perunovich",775000,"STL","D",54,6.1,0,40,784,132,0
"Shane Pinto",775000,"OTT","C",41,6.1,8.8,34,922,144,19
"Stefan Noesen",775000,"CAR","RW",81,9.5,0,38,616,93,0
"Taylor Raddysh",775000,"CHI","RW",73,3.6,9.6,34,751,108,92
"Trevor Lewis",775000,"LAK","C",82,14.8,3.7,42,588,2,106
"Ty Emberson",775000,"SJS","D",30,11,5.4,45,1035,10,66
"Vincent Desharnais",775000,"EDM","D",78,0,8.3,42,818,2,122
"Yegor Zamula",775000,"PHI","D",66,6,0,42,864,91,7
"Connor Zary",767589,"CGY","C",63,4,0,34,786,129,0
"Aliaksei Protas",766962,"WSH","C",78,9.3,3.6,36,758,14,50
"Mark Friedman",766404,"VAN","D",23,0,22.5,37,721,5,6
"Yegor Chinakhov",762216,"CBJ","RW",53,6.6,6.5,43,776,113,20
"Mike Reilly",759220,"TOT","D",61,NA,NA,39,925,100,3
"Sean Walker",754177,"TOT","D",81,0,8.5,45,1000,31,122
"Tyler Toffoli",751325,"TOT","C",79,10.8,0,41,823,193,1
"Walker Duehr",746672,"CGY","F",40,0,26.7,33,477,6,3
"Jacob Bernard-Docker",739800,"OTT","D",72,0,10.3,34,850,3,87
"Simon Nemec",738644,"NJD","D",60,1.6,4.7,47,1063,76,51
"Jansen Harkins",732960,"PIT","C",45,0,0,38,478,7,5
"Nils Åman",728914,"VAN","C",43,0,10.6,35,530,2,86
"Dakota Mermis",714208,"MIN","D",47,0,18,42,783,6,55
"Jacob MacDonald",706092,"SJS","D",34,13.5,0,41,633,86,1
"Calen Addison",699678,"TOT","D",72,5.9,0,49,890,144,1
"Erik Johnson",697656,"TOT","D",67,0,9.8,36,723,0,144
"Henry Thrun",694042,"SJS","D",51,8.8,9.8,50,1050,48,101
"Danton Heinen",693918,"BOS","C/LW",74,7.6,2.6,46,780,12,74
"Bowen Byram",693418,"TOT","D",73,5.3,3.2,45,1096,67,56
"Ilya Lyubushkin",691104,"TOT","D",74,0,10.7,37,863,1,162
"Simon Benoit",689860,"TOR","D",64,0,7.6,38,935,2,95
"John Beecher",680965,"BOS","C",52,0,7.6,51,536,0,100
"Martin Pospisil",673628,"CGY","C",63,5,0,30,739,22,0
"Dylan Holloway",672247,"EDM","C",38,15,0,38,665,6,10
"Robert Bortuzzo",656568,"TOT","D",27,0,13.2,36,739,3,80
"Caleb Jones",653338,"COL","D",25,0,12.1,38,718,1,11
"Vinni Lettieri",645222,"MIN","C",46,3.3,10,52,536,23,15
"Zack MacEwen",645222,"OTT","C",30,0,NA,39,380,3,0
"Joel Kiviranta",637106,"COL","F",56,0,5.6,27,520,0,69
"Mason Lohrei",624298,"BOS","D",41,11,2.9,41,954,31,30
"Sam Gagner",608700,"EDM","C",28,11.7,NA,38,568,43,0
"Jonny Brodzinski",596526,"NYR","C",57,2.6,0,34,618,48,0
"Casey Mittelstadt",585359,"TOT","C",80,6.5,0,48,915,143,5
"Justin Bailey",580294,"SJS","RW",59,4.2,9.9,25,638,14,24
"Hendrix Lapierre",577949,"WSH","C",51,11.2,0,49,622,62,0
"Jacob Moverare",558880,"LAK","D",24,0,8.2,43,589,0,36
"Pontus Holmberg",535656,"TOR","RW",54,8,4.6,39,627,8,58
"Parker Wotherspoon",499134,"BOS","D",41,0,5.2,41,939,5,118
"Valtteri Puustinen",462612,"PIT","RW",52,5.7,NA,38,619,85,0
"Jesper Boqvist",442322,"BOS","C",47,0,0,27,655,6,7
"Uvis Balinskis",439930,"FLA","D",26,0,0,43,811,5,29
"Nathan Walker",438264,"STL","C",45,0,5.9,45,632,2,13
"Jaycob Megna",437259,"CHI","D",44,0,10.9,40,950,2,97
"Klim Kostin",429311,"TOT","C/LW",52,0,0,46,624,27,2
"Sam Carrick",425000,"TOT","C",77,5.4,10.7,29,561,34,137
"Trey Fix-Wolansky",425000,"CBJ","RW",11,0,0,41,625,34,0
"Arber Xhekaj",408988,"MTL","D",44,2.7,12,44,874,60,20
"Dryden Hunt",400000,"CGY","LW",28,0,0,37,655,12,0
"Yakov Trenin",373842,"TOT","C",76,0,5.2,46,753,8,112
"Ivan Miroshnichenko",368036,"WSH","LW",21,9,NA,43,690,38,0
"Colin Miller",364941,"TOT","D",46,0,4.9,42,869,20,52
"Thomas Bordeleau",362758,"SJS","C",27,9.3,0,58,729,172,0
"Nick DeSimone",350000,"TOT","D",34,0,0,27,780,1,27
"Corey Perry",348988,"TOT","RW",54,4.9,0,52,691,111,0
"Zach Parise",345520,"COL","LW",30,11.7,9.9,37,697,20,60
"Spencer Stastney",345322,"NSH","D",20,0,0,44,846,6,105
"Michael Bunting",329826,"TOT","LW",81,10.2,0,55,770,170,0
"Kyle MacLean",326536,"NYI","F",32,0,0,48,598,4,2
"Declan Chisholm",324640,"TOT","D",31,8.8,0,44,852,109,30
"Olen Zellweger",323806,"ANA","D",26,4,14,46,1042,105,9
"Lucas Johansen",320582,"WSH","D",6,0,0,40,831,2,22
"Mitchell Chaffee",316524,"TBL","F",30,0,0,46,662,9,5
"Michael Sgarbossa",304350,"WSH","C",25,22,11.2,41,626,19,12
"Brayden Pachal",300214,"TOT","D",50,0,5.7,35,813,1,65
"Ryker Evans",297373,"SEA","D",36,6.1,0,53,1015,113,21
"Vasily Podkolzin",288655,"VAN","RW",19,0,NA,43,616,32,0
"Logan Stankoven",279168,"DAL","C",24,5.9,0,40,803,76,0
"Mark Jankowski",275944,"NSH","C",32,13.4,3.1,38,671,16,72
"Angus Crookshank",266668,"OTT","LW",13,0,0,35,593,13,0
"Marat Khusnutdinov",262501,"MIN","C",16,6.7,6.2,46,680,33,73
"Joel Edmundson",261114,"TOT","D",53,0,14.8,37,895,1,103
"Brendan Gaunce",259712,"CBJ","C",24,0,13.6,36,667,3,33
"Mason Shaw",255654,"MIN","C",20,0,0,38,486,0,4
"Patrick Brown",251280,"BOS","C",11,0,6,30,474,0,54
"Brandon Duhaime",241878,"TOT","RW",80,0,5.8,26,534,3,113
"Troy Stecher",241878,"TOT","D",54,0,9.7,41,965,3,118
"Justin Brazeau",235364,"BOS","F",19,10.1,0,30,629,37,0
"Colin White",227248,"TOT","C",28,0,0,43,531,3,36
"Alexander Nylander",223190,"TOT","LW",28,6.4,0,34,850,123,0
"Kale Clague",211016,"BUF","D",3,NA,NA,52,736,0,0
"Carson Meyer",210000,"CBJ","RW",14,0,0,54,546,0,0
"Jaret Anderson-Dolan",206880,"TOT","C",31,0,6.7,44,627,0,34
"Joel Hanley",195032,"TOT","D",42,0,6.7,48,806,2,24
"Vincent Iorio",184636,"WSH","D",6,NA,NA,45,589,0,0
"Connor Dewar",182450,"TOT","C",74,0,8.1,48,562,7,129
"Denis Gurianov",182450,"TOT","RW",18,0,NA,43,678,54,0
"Nikita Okhotyuk",178719,"TOT","D",52,0,0,36,899,6,49
"Chad Ruhwedel",171708,"TOT","D",52,NA,8,55,643,0,118
"Daniil Miromanov",170436,"TOT","D/RW",24,4.3,50,35,1104,135,3
"Ben Meyers",166378,"TOT","F",23,0,11.4,46,575,0,30
"Boris Katchouk",166378,"TOT","LW",59,0,7.9,40,622,4,61
"William Lagesson",166378,"TOT","D",40,0,9.9,47,805,0,82
"Scott Morrow",151692,"CAR","D",2,NA,0,40,1088,0,14
"Jack Studnicka",150146,"TOT","C",22,0,4.5,43,629,10,47
"Bradly Nadeau",144236,"CAR","LW",1,0,0,50,1027,115,6
"Liam Ohgren",130808,"MIN","LW",4,12.9,NA,46,800,70,0
"Sam Colangelo",123013,"ANA","RW",3,50.7,NA,48,729,23,0
"Jackson Blake",120906,"CAR","RW",1,0,NA,42,749,169,0
"Lane Hutson",119870,"MTL","D",2,0,NA,60,1312,51,0
"Nolan Foote",108975,"NJD","LW",4,0,0,39,578,27,0
"Gavin Brindley",108428,"CBJ","C",1,0,NA,49,651,89,0
"Ruslan Iskhakov",100616,"NYI","C",1,40.4,NA,39,762,89,0
"Cutter Gauthier",99476,"ANA","LW",1,NA,NA,51,924,0,0
"Cale Fleury",44638,"SEA","D",1,0,NA,46,801,9,0
"Dylan McIlrath",44638,"WSH","D",3,NA,NA,40,618,0,0
"Jayson Megna",8116,"BOS","C",1,0,NA,45,688,17,0
