"Name","Salary","Tm","Pos","GP","gf_60","ga_60","avg_shift","even_toi_sec","pp_toi_sec","sh_toi_sec"
"Neal Pionk",7500000,"WPG","D",82,5.3,9.5,35,1044,108,96
"Nick Schmaltz",7500000,"ARI","C",79,9,5.8,55,934,193,23
"T.J. Brodie",7500000,"TOR","D",78,0,9,41,1134,4,164
"Valeri Nichushkin",7500000,"COL","RW",54,11.5,9.8,39,939,232,109
"Taylor Hall",7250000,"CHI","LW",10,5.1,0,53,765,213,0
"Rasmus Dahlin",7200000,"BUF","D",81,7.4,7.5,42,1273,181,71
"Tage Thompson",7142857,"BUF","C",71,8.1,5.6,32,870,162,54
"Dylan Cozens",7100000,"BUF","C",79,6.1,9.1,40,810,127,95
"Aaron Ekblad",7000000,"FLA","D",51,8.2,4.2,35,983,85,182
"Claude Giroux",7000000,"OTT","C/LW",82,6.4,12.3,36,912,178,114
"Ivan Barbashev",7000000,"VEG","C",82,6.7,0,46,854,111,1
"Nazem Kadri",7000000,"CGY","C",82,8.1,0,56,913,183,8
"Troy Terry",7000000,"ANA","C/RW",76,6.2,12.9,69,949,144,3
"Pavel Buchnevich",6900000,"STL","LW",80,8.1,7.5,48,898,189,102
"Phillip Danault",6750000,"LAK","C",78,6.7,7.7,55,862,110,108
"Brock Boeser",6650000,"VAN","RW",81,10.2,0,41,889,225,0
"Dylan Strome",6500000,"WSH","C",82,7.7,30.8,41,898,177,1
"Jamie Benn",6500000,"DAL","LW",82,11,6,44,708,139,59
"Kevin Hayes",6500000,"STL","RW",79,4,0,60,766,90,11
"Mattias Ekholm",6500000,"EDM","D",79,4.4,5.2,48,1088,52,122
"Nikolaj Ehlers",6500000,"WPG","LW",82,2.7,0,31,819,132,0
"Sam Reinhart",6500000,"FLA","C",82,9.7,7.2,55,863,225,128
"Steven Stamkos",6500000,"TBL","C",79,11.8,0,52,867,224,1
"Vincent Trocheck",6500000,"NYR","C",82,12.2,5.1,43,983,208,94
"Vladislav Gavrikov",6500000,"LAK","D",77,0,6.2,48,1073,13,149
"Sam Bennett",6350000,"FLA","C",69,8.7,3.9,40,849,119,26
"Andrew Copp",6250000,"DET","C",79,5.9,9.1,41,791,45,139
"MacKenzie Weegar",6250000,"CGY","D",82,9.1,8.4,28,1129,115,131
"Ryan Nugent-Hopkins",6250000,"EDM","C",80,12.6,10,54,868,200,107
"Ryan Pulock",6150000,"NYI","D",58,5.9,10.9,51,1153,74,125
"Clayton Keller",6000000,"ARI","C",78,8.4,0,51,956,196,1
"Conor Garland",6000000,"VAN","RW",82,5.6,0,35,770,101,0
"Evgeni Malkin",6000000,"PIT","C",82,6.4,94.7,52,908,205,1
"Jamie Oleksiak",6000000,"SEA","D",82,0,7.9,39,998,1,178
"Jared McCann",6000000,"SEA","C",80,8.5,8.1,49,762,154,88
"Joel Eriksson Ek",6000000,"MIN","C/LW",77,10,10.3,42,853,233,144
"John Carlson",6000000,"WSH","D",82,7.4,8.7,47,1186,201,165
"Mark Scheifele",6000000,"WPG","C",74,7.7,0,36,1019,188,2
"Mikael Granlund",6000000,"SJS","C",69,8.8,9.6,67,949,178,129
"Rickard Rakell",6000000,"PIT","RW",70,6.1,0,50,848,142,0
"Sebastian Aho",6000000,"CAR","F",78,11.4,5.2,50,897,173,106
"Sebastian Aho",6000000,"NYI","D",58,2.4,13.7,41,901,50,31
"Travis Konecny",6000000,"PHI","C",76,4.5,9.1,45,917,179,93
"Tyler Myers",6000000,"VAN","D",77,0,7.4,33,987,16,133
"William Nylander",6000000,"TOR","C",82,10.4,8.8,51,932,202,59
